Gene_ID	Total counts	P-value (Lytic*H3K27ac vs. Latent*H3K27ac)	FDR step up (Lytic*H3K27ac vs. Latent*H3K27ac)	Ratio (Lytic*H3K27ac vs. Latent*H3K27ac)	Fold change (Lytic*H3K27ac vs. Latent*H3K27ac)	LSMean(Lytic*H3K27ac) (Lytic*H3K27ac vs. Latent*H3K27ac)	LSMean(Latent*H3K27ac) (Lytic*H3K27ac vs. Latent*H3K27ac)
GPRIN2	7.13E+00	0.00E+00	0.00E+00	1.38E+00	1.38E+00	9.42E+04	6.82E+04
KIAA1147	1.59E+01	0.00E+00	0.00E+00	1.00E-06	-1.00E+06	4.87E+00	7.01E+144
KDM5C	2.36E+01	0.00E+00	0.00E+00	1.83E-02	-5.46E+01	3.90E+15	2.13E+17
SNORA45	1.88E+00	0.00E+00	0.00E+00	8.87E-06	-1.13E+05	4.46E+06	5.03E+11
TSEN34	5.58E+01	0.00E+00	0.00E+00	1.00E-06	-1.00E+06	6.07E+00	3.94E+30
RP1-134E15.3	1.64E+01	0.00E+00	0.00E+00	1.00E-06	-1.00E+06	8.56E+142	1.87E+260
BOLA2	3.15E+01	0.00E+00	0.00E+00	3.10E+00	3.10E+00	3.13E+08	1.01E+08
CTD-2008L17.1	5.55E+00	0.00E+00	0.00E+00	4.71E-02	-2.12E+01	1.79E+11	3.79E+12
SMARCA5-AS1	2.13E+01	0.00E+00	0.00E+00	1.00E+06	1.00E+06	1.96E+19	2.38E+04
AC132192.1	1.51E+01	0.00E+00	0.00E+00	1.01E+00	1.01E+00	2.65E+10	2.61E+10
GPSM3	3.67E+01	0.00E+00	0.00E+00	7.65E-02	-1.31E+01	3.27E+09	4.27E+10
AP000351.10	6.08E+00	0.00E+00	0.00E+00	2.10E-01	-4.77E+00	1.88E+03	8.96E+03
SRCIN1	7.69E+00	0.00E+00	0.00E+00	1.07E+00	1.07E+00	1.42E+07	1.33E+07
CTB-186G2.4	3.99E+00	0.00E+00	0.00E+00	2.72E-02	-3.68E+01	1.32E+07	4.85E+08
CLK2	3.16E+01	0.00E+00	0.00E+00	2.06E-01	-4.85E+00	7.00E+09	3.39E+10
RP5-862P8.3	9.72E-01	0.00E+00	0.00E+00	2.06E-01	-4.85E+00	7.16E+19	3.47E+20
HIST1H4B	5.27E+00	0.00E+00	0.00E+00	1.00E+06	1.00E+06	4.52E+188	4.71E+00
KRT18P33	1.17E+01	0.00E+00	0.00E+00	1.00E+06	1.00E+06	2.57E+18	4.72E+01
RP11-84C13.1	8.75E+00	0.00E+00	0.00E+00	8.00E-02	-1.25E+01	2.10E+132	2.63E+133
RP11-162G10.5	2.01E+01	0.00E+00	0.00E+00	1.00E-06	-1.00E+06	1.42E+01	2.70E+12
ACTG1	4.43E+01	0.00E+00	0.00E+00	6.15E-06	-1.63E+05	2.20E+04	3.58E+09
RP11-340C20.3	3.22E+00	0.00E+00	0.00E+00	1.00E+06	1.00E+06	4.61E+25	3.00E+00
TRBJ2-2	4.79E+00	0.00E+00	0.00E+00	1.35E-01	-7.39E+00	4.98E+06	3.68E+07
RP11-363E6.3	5.88E+00	0.00E+00	0.00E+00	1.00E+06	1.00E+06	1.36E+19	3.85E+00
AL136376.1	6.07E+00	0.00E+00	0.00E+00	1.00E+06	1.00E+06	5.57E+15	5.11E+00
RASSF1	9.72E+01	0.00E+00	0.00E+00	1.00E-06	-1.00E+06	7.07E+00	8.18E+32
INTS3	7.88E+01	0.00E+00	0.00E+00	1.00E+06	1.00E+06	5.25E+15	2.79E+09
SFT2D3	4.35E+01	0.00E+00	0.00E+00	6.22E-02	-1.61E+01	1.99E+13	3.20E+14
SCAMP3	1.21E+01	0.00E+00	0.00E+00	1.00E+06	1.00E+06	7.96E+10	3.30E-13
RP11-80F22.14	2.15E+00	0.00E+00	0.00E+00	1.00E-06	-1.00E+06	3.20E-01	5.70E+28
RP11-770J1.5	1.09E+01	0.00E+00	0.00E+00	1.00E+06	1.00E+06	5.36E+19	3.05E+01
C6orf136	4.20E+01	0.00E+00	0.00E+00	9.82E-02	-1.02E+01	2.69E+02	2.74E+03
RP11-361D15.2	1.15E+01	0.00E+00	0.00E+00	7.68E-04	-1.30E+03	2.05E+01	2.67E+04
AC007383.3	2.50E+01	0.00E+00	0.00E+00	9.37E+05	9.37E+05	6.07E+18	6.48E+12
U73166.2	1.38E+01	0.00E+00	0.00E+00	1.00E+06	1.00E+06	2.60E+59	9.82E+01
EPS8L1	5.27E+01	0.00E+00	0.00E+00	1.00E-06	-1.00E+06	4.06E+02	7.93E+26
SLC39A7	3.94E+01	0.00E+00	0.00E+00	1.24E-01	-8.10E+00	3.06E+12	2.48E+13
MRPS18B	1.26E+01	0.00E+00	0.00E+00	1.00E+06	1.00E+06	2.40E+15	9.78E+00
CBX8	3.93E+01	0.00E+00	0.00E+00	1.75E-01	-5.70E+00	1.88E+13	1.07E+14
